ProductID,ProductName,SKU,Category,Price,Cost,StockQuantity,ReorderLevel,Supplier,DateAdded
PRO-000000,ToughGuard Heavy-Duty Work Gloves,SKU-000000,General Merchandise,96.41,80.97,107,25,Apex Works,2025-04-30
PRO-000001,ArtisanBrew Specialty Tea Sampler,SKU-000001,Home Goods,175.95,141.65,32,6,Jones Systems,2025-05-02
PRO-000002,FlexiFold Collapsible Storage Bins,SKU-000002,General Merchandise,66.11,54.66,23,5,Meridian Johnson Inc.,2022-11-25
PRO-000003,Nature's Best Organic Green Tea,SKU-000003,General Merchandise,103.84,78.92,101,15,Pinnacle Miller Inc.,2023-10-20
PRO-000004,SwiftCharge Wireless Phone Charger,SKU-000004,Electronics,180.47,144.71,39,10,Smith Services,2022-01-15
PRO-000005,PetSafe Wireless Pet Fence System,SKU-000005,Pet Supplies,107.84,76.45,21,5,United Services,2025-05-17
PRO-000006,PureAir HEPA Air Purifier 300,SKU-000006,Home Goods,153.25,115.98,87,15,Jones Systems,2024-12-26
PRO-000007,PetComfort Orthopedic Dog Bed,SKU-000007,Pet Supplies,86.33,72.34,133,39,Pinnacle Systems,2024-02-28
PRO-000008,UltraClean Robot Vacuum Cleaner,SKU-000008,Home Goods,68.26,56.45,89,13,Quantum Solutions,2024-03-02
PRO-000009,EcoFriendly Bamboo Toothbrush Set,SKU-000009,General Merchandise,147.24,114.4,52,10,Summit Solutions,2022-10-09
PRO-000010,QuickChill Portable Mini Fridge,SKU-000010,Home Goods,132.71,98.62,106,24,Meridian Johnson Inc.,2022-10-26
PRO-000011,PowerCharge Wireless Phone Charger,SKU-000011,Electronics,165.59,119.24,29,5,Quantum Solutions,2022-07-10
PRO-000012,GourmetBite Artisan Cheese Board,SKU-000012,General Merchandise,123.17,101.21,149,41,Pacific Services,2025-09-22
PRO-000013,ChillMate Insulated Water Bottle,SKU-000013,General Merchandise,82.14,63.28,60,10,United Services,2021-08-15
PRO-000014,EcoWrap Biodegradable Food Wraps,SKU-000014,General Merchandise,71.49,55.03,93,23,Brown Services,2025-01-03
PRO-000015,Gamer's Paradise Gaming Chair,SKU-000015,Home Goods,79.32,60.73,89,21,Apex Works,2022-05-01
PRO-000016,ComfortSleep Memory Foam Pillow,SKU-000016,Home Goods,43.8,31.55,83,12,Pinnacle Miller Inc.,2024-08-21
